Artist,Stage,Day,Start Time,Genre/Profile,Listen Score (1-10),Rank/Priority
Elias Rønnenfelt,Nova,Thursday,13:00,Poetic Indie Punk,,
Kalaset,Astra,Thursday,14:00,Summery Danish Pop,,
Kayak,Luna,Thursday,14:00,Crossover Rock/Prog,,
SPEEDRUN,SideShow,Thursday,14:15,High-energy Electro-Swing,,
CMAT,Nova,Thursday,15:15,Humorous Country Pop,,
Big Thief,Astra,Thursday,16:30,Vulnerable Indie Folk,,
The Twilight Sad,Luna,Thursday,16:30,Dark Scottish Indie,,
Emma Lea,SideShow,Thursday,16:30,Contemporary Pop,,
Ashnikko,Nova,Thursday,17:45,Explosive Rap/Punk,,
APHACA,Astra,Thursday,19:00,Youthful Indie Pop,,
Sudan Archives,Luna,Thursday,19:00,Experimental R&B,,
Orkestr Partisanski,SideShow,Thursday,19:00,Soviet Balkan Rock,,
Primal Scream,Nova,Thursday,20:30,Alternative Rock Icons,,
Baxter Dury,Luna,Thursday,21:30,Sophisticated Art Rock,,
Empire Of The Sun,Astra,Thursday,22:00,Visual Synth-Pop,,
Big Band of Boom,SideShow,Thursday,22:00,Heavy Big Band Horns,,
Lottery Winners,Luna,Thursday,23:15,Indie Pop Anthems,,
Peggy Gou,Nova,Thursday,23:45,Melodic House/Techno,,
Rigmor,Nova,Friday,13:00,Edgy Indie Rock,,
URO,Astra,Friday,14:00,Brutally Honest Pop,,
Ashes of Billy,Luna,Friday,14:00,Explosive Grunge Rock,,
Junglelyd,SideShow,Friday,14:15,Tropical Analog Groove,,
Patina,Nova,Friday,15:15,Soul-inspired Pop,,
Kings of Convenience,Astra,Friday,16:30,Intimate Indie Folk,,
Carl Knast,Luna,Friday,16:30,Playful Electronic Pop,,
Heavy Beat Brass Band,SideShow,Friday,16:30,New Orleans Brass Energy,,
Blaue Blume,Nova,Friday,17:45,Dreamy Synth-Pop,,
IDLES,Astra,Friday,19:00,High-Intensity Punk,,
Søn,Luna,Friday,19:00,Alternative Danish Pop,,
Big Band of Boom,SideShow,Friday,19:00,12-piece Cinematic Beast,,
Skepta,Nova,Friday,20:30,Hard Grime Beats,,
Goose,Luna,Friday,21:30,Sophisticated Jam Rock,,
Thomas Helmig,Astra,Friday,22:00,Danish Pop Legend,,
Bjonko,SideShow,Friday,22:00,Balkan Beats Fusion,,
wicky,Luna,Friday,23:15,Emo Rap / Honest Unrest,,
Tinlicker,Nova,Friday,23:45,Deep House / Electronic,,
Østen,Nova,Saturday,13:00,Fragile/Powerful Pop,,
Alex Vargas,Astra,Saturday,14:00,Soulful Vocal Pop,,
Svaneborg Kardyb,Luna,Saturday,14:00,Electronic Ambient Jazz,,
Pater,SideShow,Saturday,14:15,Intense Aarhus Indie,,
Jonah Blacksmith,Nova,Saturday,15:15,North Sea Folk Rock,,
Viagra Boys,Astra,Saturday,16:30,Chaotic Humor Punk,,
Skullcrusher,Luna,Saturday,16:30,Dreamy Indie Folk,,
Diddy Swegg,SideShow,Saturday,16:30,Intergalactic Disco Funk,,
Sienna Spiro,Nova,Saturday,17:45,Contemporary Indie Pop,,
Tobias Rahim,Astra,Saturday,19:00,Modern Pop Anthems,,
Red Leather,Luna,Saturday,19:00,Raw Intense Rock,,
Smashing Boneheads,SideShow,Saturday,19:00,Voodoo Swing Band,,
Father John Misty,Nova,Saturday,20:30,Poetic Indie/Alternative,,
Florence Road,Luna,Saturday,21:30,Contemporary Indie,,
Jack White,Astra,Saturday,22:00,Legendary Blues Rock,,
Orkestr Partisanski,SideShow,Saturday,22:00,Explosive Party Energy,,
Ebbb,Luna,Saturday,23:15,Emergent Discovery,,
Charlotte de Witte,Nova,Saturday,23:45,Global Techno Elite,,
